"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Zbtb16",0,0.279240398426825,0.204,0.066,0,"1","Zbtb16"
"Etl4",0,0.2761651537525,0.297,0.128,0,"1","Etl4"
"Ttc28",0,0.27478387971454,0.281,0.084,0,"1","Ttc28"
"Kank3",0,0.273071011792198,0.238,0.041,0,"1","Kank3"
"Stmn2",0,0.2701344011314,0.192,0.028,0,"1","Stmn2"
"Erg",0,0.268819432625099,0.229,0.035,0,"1","Erg"
"Arap3",0,0.265926296630786,0.24,0.043,0,"1","Arap3"
"Hip1",0,0.263872307088012,0.285,0.096,0,"1","Hip1"
"Ppp1r2",0,0.263011326408222,0.266,0.089,0,"1","Ppp1r2"
"Ptrf",0,0.260557771417227,0.154,0.014,0,"1","Ptrf"
"Cebpd",0,0.258212194287989,0.179,0.046,0,"1","Cebpd"
"Qk",0,0.258155018766725,0.481,0.27,0,"1","Qk"
"Tnfsf10",0,0.25751217466374,0.223,0.038,0,"1","Tnfsf10"
"Bst2",0,0.257053944270765,0.215,0.049,0,"1","Bst2"
"Nostrin",0,0.25643807640594,0.221,0.042,0,"1","Nostrin"
"Ldlrad4",0,0.255873621699674,0.293,0.134,0,"1","Ldlrad4"
"Pde4b",0,0.254990492821531,0.293,0.124,0,"1","Pde4b"
